project,class_name,method_name,extract_lines,label
freeplane,TagEditor,createTagIfAbsent,,0
freeplane,ConnectorExistsCondition,ConnectorExistsCondition,,0
junit4,ActiveTestSuite,ActiveTestSuite,,0
junit4,ActiveTestSuite,ActiveTestSuite,,0
junit4,ActiveTestSuite,ActiveTestSuite,,0
junit4,ActiveTestSuite,ActiveTestSuite,,0
junit4,ActiveTestSuite,run,,0
junit4,ActiveTestSuite,runTest,,0
junit4,ActiveTestSuite,runFinished,,0
junit4,RepeatedTest,RepeatedTest,,0
junit4,RepeatedTest,countTestCases,,0
junit4,RepeatedTest,run,,0
junit4,RepeatedTest,toString,,0
junit4,TestDecorator,TestDecorator,,0
junit4,TestDecorator,basicRun,,0
junit4,TestDecorator,countTestCases,,0
junit4,TestDecorator,run,,0
junit4,TestDecorator,toString,,0
junit4,TestDecorator,getTest,,0
junit4,TestSetup,TestSetup,,0
junit4,TestSetup,run,,0
junit4,TestSetup,setUp,,0
junit4,TestSetup,tearDown,,0
junit4,Assert,assertEquals,,0
junit4,Assert,assertEquals,,0
junit4,Assert,assertEquals,,0
junit4,Assert,assertEquals,,0
junit4,Assert,assertEquals,,0
junit4,Assert,assertEquals,,0
junit4,Assert,assertEquals,,0
junit4,Assert,assertEquals,,0
junit4,Assert,assertEquals,,0
junit4,Assert,assertEquals,,0
junit4,Assert,assertEquals,,0
junit4,Assert,assertEquals,,0
junit4,Assert,assertNotSame,,0
junit4,Assert,assertNotSame,,0
junit4,Assert,failSame,,0
junit4,Assert,failNotSame,,0
junit4,Assert,failNotEquals,,0
junit4,Assert,format,,0
junit4,AssertionFailedError,AssertionFailedError,,0
junit4,AssertionFailedError,AssertionFailedError,,0
junit4,AssertionFailedError,defaultString,,0
junit4,ComparisonCompactor,ComparisonCompactor,,0
junit4,ComparisonCompactor,compact,,0
junit4,ComparisonCompactor,compactString,,0
junit4,ComparisonCompactor,findCommonPrefix,,0
junit4,ComparisonCompactor,findCommonSuffix,,0
junit4,ComparisonCompactor,computeCommonPrefix,,0
junit4,ComparisonCompactor,computeCommonSuffix,,0
junit4,ComparisonCompactor,areStringsEqual,,0
junit4,JUnit4TestAdapter,JUnit4TestAdapter,,0
junit4,JUnit4TestAdapter,JUnit4TestAdapter,,0
junit4,JUnit4TestAdapter,countTestCases,,0
junit4,JUnit4TestAdapter,run,,0
junit4,JUnit4TestAdapter,getTests,,0
junit4,JUnit4TestAdapter,getTestClass,,0
junit4,JUnit4TestAdapter,getDescription,,0
junit4,JUnit4TestAdapter,removeIgnored,,0
junit4,JUnit4TestAdapter,isIgnored,,0
junit4,JUnit4TestAdapter,toString,,0
junit4,JUnit4TestAdapter,filter,,0
junit4,JUnit4TestAdapter,sort,,0
junit4,JUnit4TestAdapter,order,,0
junit4,JUnit4TestAdapterCache,getDefault,,0
junit4,JUnit4TestAdapterCache,asTest,,0
junit4,JUnit4TestAdapterCache,createTest,,0
junit4,JUnit4TestAdapterCache,getNotifier,,0
junit4,JUnit4TestAdapterCache,asTestList,,0
junit4,JUnit4TestCaseFacade,JUnit4TestCaseFacade,,0
junit4,JUnit4TestCaseFacade,toString,,0
junit4,JUnit4TestCaseFacade,countTestCases,,0
junit4,JUnit4TestCaseFacade,run,,0
junit4,JUnit4TestCaseFacade,getDescription,,0
junit4,TestCase,TestCase,,0
junit4,TestCase,TestCase,,0
junit4,TestCase,countTestCases,,0
junit4,TestCase,createResult,,0
junit4,TestCase,run,,0
junit4,TestCase,run,,0
junit4,TestCase,assertTrue,,0
junit4,TestCase,assertTrue,,0
junit4,TestCase,assertFalse,,0
junit4,TestCase,assertFalse,,0
junit4,TestCase,fail,,0
junit4,TestCase,fail,,0
junit4,TestCase,assertEquals,,0
junit4,TestCase,assertEquals,,0
junit4,TestCase,assertEquals,,0
junit4,TestCase,assertEquals,,0
junit4,TestCase,assertEquals,,0
junit4,TestCase,assertEquals,,0
junit4,TestCase,assertEquals,,0
junit4,TestCase,assertEquals,,0
junit4,TestCase,assertEquals,,0
junit4,TestCase,assertEquals,,0
junit4,TestCase,assertEquals,,0
junit4,TestCase,assertEquals,,0
junit4,TestCase,assertEquals,,0
