project,class_name,extract_methods,label
jgrapht,ExtensionManager,,0
jgrapht,RatioVertex,,0
jgrapht,VertexTraversalEvent,,0
jgrapht,UndirectedSpecifics,,0
jgrapht,TestUtil,,0
jgrapht,TransitiveReductionTest,,0
jgrapht,PivotBronKerboschCliqueFinderTest,,0
jgrapht,UndirectedModularityMeasurerTest,,0
jgrapht,SmallestDegreeLastColoringTest,,0
jgrapht,TreeDynamicConnectivityTest,,0
jgrapht,WeakChordalityInspectorTest,,0
jgrapht,HeavyPathDecompositionTest,,0
jgrapht,GoldbergMaximumDensitySubgraphTestBase,,0
jgrapht,TwoLayeredBipartiteLayout2DTest,,0
jgrapht,PointsTest,,0
jgrapht,PushRelabelMinimumSTCutTest,,0
jgrapht,CapacityScalingMinimumCostFlowTest,"testGetMinimumCostFlow1,testGetMinimumCostFlow2,testGetMinimumCostFlow3,testGetMinimumCostFlow4,testGetMinimumCostFlow5,testGetMinimumCostFlow6,testGetMinimumCostFlow7,testGetMinimumCostFlow8,testGetMinimumCostFlow9,testGetMinimumCostFlow10,testGetMinimumCostFlow11,testGetMinimumCostFlow12,testGetMinimumCostFlow13,testGetMinimumCostFlow14,testGetMinimumCostFlow15,testGetMinimumCostFlow16,testGetMinimumCostFlow17",1
jgrapht,ChordalGraphIndependentSetFinderTest,,0
jgrapht,VF2SubgraphIsomorphismInspectorTest,"testGraphTypes,testEdgeCasesSimpleGraph,testEdgeCasesDirectedGraph",1
jgrapht,TarjanLCAFinderTest,,0
jgrapht,SørensenIndexLinkPredictionTest,,0
jgrapht,SparseEdmondsMaximumCardinalityMatchingTest,"testGraph1,testGraph2,testGraph3,testGraph4,testGraph5,testGraph6,testGraph7,testGraph8,testGraph9,testGraph10,testGraph15,testGraph14,testGraph13,testGraph12,testGraph11",1
jgrapht,KolmogorovWeightedPerfectMatchingTest,"testGetMatching0,testGetMatching1,testGetMatching2,testGetMatching3,testGetMatching4,testGetMatching5,testGetMatching6,testGetMatching7,testGetMatching8,testGetMatching9,testGetMatching10,testGetMatching11,testGetMatching12,testGetMatching13,testGetMatching14,testGetMatching15,testGetMatching16,testGetMatching17,testGetMatching18,testGetMatching19,testGetMatching20,testGetMatching21,testGetMatching22,testGetMatching23,testGetMatching24,testGetMatching25,testGetMatching26,testGetMatching27,testGetMatching28,testGetMatching29,testGetMatching30,testGetMatching31,testGetMatching32,testGetMatching33,testGetMatching34,testGetMatching35,testGetMatching36,testGetMatching37,testGetMatching38,testGetMatching39,testGetMatching40,testGetMatching41,testGetMatching42,testGetMatching43,testGetMatching44,testGetMatching45,testGetMatching46,testGetMatching47,testGetMatching48,testGetMatching49,testGetMatching50",1
jgrapht,BipartitePartitioningTest,,0
jgrapht,BoyerMyrvoldPlanarityInspectorTest,"testPlanarity0,testPlanarity1,testPlanarity2,testPlanarity3,testPlanarity4,testPlanarity5,testPlanarity6,testPlanarity7,testPlanarity8,testPlanarity9,testPlanarity10,testPlanarity11,testPlanarity12,testPlanarity13,testPlanarity14,testPlanarity15,testPlanarity16,testPlanarity17,testPlanarity18,testPlanarity19,testPlanarity20,testPlanarity21,testPlanarity22,testPlanarity23,testPlanarity24,testPlanarity25,testPlanarity26,testPlanarity27,testPlanarity28,testPlanarity29,testPlanarity30,testPlanarity31,testPlanarity32,testPlanarity33,testPlanarity34,testPlanarity35,testPlanarity36,testPlanarity37",1
jgrapht,PageRankTest,,0
jgrapht,YenShortestPathIteratorTest,"testSimpleGraph1,testSimpleGraph2,testSimpleGraph3,testSimpleGraph4,testCyclicGraph1,testCyclicGraph2,testCyclicGraph3,testPseudoGraph1,testPseudoGraph2 testPseudoGraph3",1
jgrapht,ZhangShashaTreeEditDistanceTest,,0
jgrapht,PrimMinimumSpanningTreeTest,,0
jgrapht,TwoOptHeuristicTSPTest,,0
jgrapht,LineGraphConverterTest,,0
jgrapht,VertexDegreeComparatorTest,,0
jgrapht,WeightedVertexCoverTwoApproxTest,,0
jgrapht,WindmillGraphsGeneratorTest,,0
jgrapht,NetworkGeneratorTest,"testBipartiteMatchingProblem_MinimumNumberOfArcs,testBipartiteMatchingProblem_MaximumNumberOfArcs,testBipartiteMatchingProblem_RandomNumberOfArcs,testBipartiteMatchingProblem_LargeProblem",1
jgrapht,WeightedGraphTest,,0
jgrapht,GraphTypeBuilderTest,,0
jgrapht,AsSynchronizedGraphTest,"testOthers,testScenario",1
jgrapht,AStarAdmissibleHeuristicTest,,0
jgrapht,MaximalCliqueEnumerationPerformanceTest,,0
jgrapht,TreeDynamicConnectivityPerformanceTest,,0
jgrapht,MaximumFlowAlgorithmPerformanceTest,,0
jgrapht,GraphPerformanceTest,,0
jgrapht,LowestCommonAncestorAlgorithmPerformanceTest,,0
jgrapht,PathGrowingWeightedMatchingPerformanceTest,,0
jgrapht,KolmogorovMinimumWeightPerfectMatchingPerformanceTest,,0
jgrapht,KShortestPathsPerformance,,0
jgrapht,MinimumSpanningTreePerformanceTest,,0
jgrapht,VertexTrackingTraversalListener,,0
jgrapht,VertexToIntegerMappingTest,,0
libgdx,Version,,0
libgdx,AssetManager,"finishLoading,finishLoadingAsset,finishLoadingAsset,injectDependencies,injectDependency,nextTask,addTask,addAsset,updateTask,taskFailed,incrementRefCountedDependencies,setLoader,setLoader,getLoadedAssets,getQueuedAssets,getProgress,setErrorListener,dispose,clear,getLogger,setLogger,getReferenceCount,setReferenceCount,getDiagnostics,getAssetNames,getDependencies,getAssetType,assets,assetTypes,assetDependencies,injected,loaders,loadQueue,executor,tasks,listener,loaded,toLoad,peakTasks,resolver,log",1
libgdx,TextureLoader,,0
libgdx,ResolutionFileResolver,,0
libgdx,FileHandleStream,,0
libgdx,VertexAttributes,"Usage,ReadonlyIterator,ReadonlyIterable",0
libgdx,TextureRegion,,0
libgdx,Renderable,,0
libgdx,TextureAttribute,,0
libgdx,SimpleOrthoGroupStrategy,,0
libgdx,SpotLight,,0
libgdx,MtlLoader,,0
libgdx,NodePart,,0
libgdx,ModelTexture,,0
libgdx,ResourceData,,0
libgdx,PointSpriteParticleBatch,,0
libgdx,RegularEmitter,,0
libgdx,SpawnInfluencer,,0
libgdx,PointSpriteRenderer,,0
libgdx,WeightMeshSpawnShapeValue,,0
libgdx,DepthShader,,0
libgdx,SphereShapeBuilder,,0
libgdx,VertexBufferObjectWithVAO,,0
libgdx,GLProfiler,,0
libgdx,RemoteSender,,0
libgdx,MapProperties,,0
libgdx,TextureMapObject,,0
libgdx,TmxMapLoader,,0
libgdx,TiledMapTileMapObject,,0
libgdx,OrthogonalTiledMapRenderer,,0
libgdx,StaticTiledMapTile,,0
libgdx,SocketHints,,0
